,Title,Views,Upload Date,Duration
0,"Collected Miscellany - ""Yelan: Traceless Stealth"" | Genshin Impact",652000,2022-05-31,370
1,"Character Demo - ""Yelan: Shadow in the Rain"" | Genshin Impact",2400000,2022-05-30,166
2,"Character Teaser - ""Yelan: Inevitable Justice"" | Genshin Impact",3000000,2022-05-25,89
3,Version 2.7 Special Program｜Genshin Impact,1300000,2022-05-20,2166
4,"Version 2.7 ""Hidden Dreams in the Depths"" Trailer | Genshin Impact",2200000,2022-05-20,228
5,Genshin Impact EP - The Shirasagi's Gentle Contemplation,715000,2022-05-01,259
6,"""Tsubaki in Thawing Snow"" Short Trailer | Genshin Impact",4200000,2022-05-01,192
7,Story Teaser: Tale of the Five Kasen | Genshin Impact,737000,2022-05-01,138
8,Islands of the Lost and Forgotten - Disc 3: Battles of Inazuma 2｜Genshin Impact,261000,2022-05-01,1634
9,Islands of the Lost and Forgotten - Disc 2: Beneath the Abyssal Depth｜Genshin Impact,140000,2022-05-01,2643
10,Islands of the Lost and Forgotten - Disc 1: Isles of Serenity and Amnesia｜Genshin Impact,235000,2022-05-01,2742
11,"""Song of Innocence"": Inazuma Chapter OST Album 2 - Through the Mists Theme MV | Genshin Impact",660000,2022-05-01,187
12,"Collected Miscellany - ""Kamisato Ayato: Reflection of the Moon and Flowers"" | Genshin Impact",896000,2022-04-01,319
13,"Character Demo - ""Kamisato Ayato: Fathomless Swirls in the Forest"" | Genshin Impact",3500000,2022-04-01,165
14,"Character Teaser - ""Kamisato Ayato: Lanterns in the Night"" | Genshin Impact",3000000,2022-04-01,117
15,Version 2.6 Special Program｜Genshin Impact,1500000,2022-04-01,2197
16,"Version 2.6 ""Zephyr of the Violet Garden"" Trailer | Genshin Impact",3600000,2022-04-01,272
17,Genshin Impact EP - A Scenery of Skylight and Serenity,914000,2022-04-01,311
18,Genshin Impact EP - The Iridescent Waves,698000,2022-04-01,273
19,"Collected Miscellany - ""Yae Miko: The Mocking of a Tenko"" | Genshin Impact",1700000,2022-03-01,311
20,"Character Demo - ""Yae Miko: Anecdote of a Divine Kitsune Guuji"" | Genshin Impact",3800000,2022-03-01,170
21,"Character Teaser - ""Yae Miko: Kitsune's Affections"" | Genshin Impact",3300000,2022-03-01,107
22,Version 2.5 Special Program｜Genshin Impact,1900000,2022-03-01,1985
23,Story Promotional Video｜Genshin Impact,3400000,2022-03-01,39
24,"Version 2.5 ""When the Sakura Bloom"" Trailer | Genshin Impact",4000000,2022-03-01,266
25,GENSHIN CONCERT Special Edition - Reflections of Spring｜Genshin Impact,1000000,2022-03-01,1445
26,"Fleeting Colors in Flight Event Cutscene Animation: ""Age of Flowing Hues"" | Genshin Impact",1200000,2022-02-01,258
27,GENSHIN CONCERT Special Edition Preview｜Genshin Impact,606000,2022-02-01,29
28,Genshin Impact Character OST Album - The Stellar Moments Vol. 2,1900000,2022-02-01,1952
29,Genshin Impact EP - The Joys of Leisure and Pleasure,671000,2022-02-01,332
30,Genshin Impact EP - Trail of the Radiant Qilin,1000000,2022-02-01,221
31,The World of Opera: A Behind the Scenes Look at the Creation of Yun Jin | Genshin Impact,906000,2022-02-01,1236
32,Enchanting Journey of Snow and Stars: The Alps Waypoint Lighting Ceremony | Genshin Impact,830000,2022-02-01,736
33,Enchanting Journey of Snow and Stars: Illuminating Event in the Alps (Teaser 2) | Genshin Impact,1100000,2022-02-01,41
34,Story Teaser: The Divine Damsel of Devastation | Genshin Impact,6400000,2022-02-01,171
35,"Collected Miscellany - ""Yun Jin: Showstopper"" | Genshin Impact",717000,2022-02-01,324
36,"Collected Miscellany - ""Shenhe: Fluttering of Frosty Feathers"" | Genshin Impact",1800000,2022-02-01,343
37,"Character Demo - ""Shenhe: Crane in the Wild"" | Genshin Impact",4800000,2022-02-01,166
38,Genshin Impact EP - A Moment of Tranquility in the Eradication of Evil,1100000,2022-02-01,223
39,"Character Demo - ""Yun Jin: The True Meaning of Opera"" | Genshin Impact",3000000,2022-02-01,88
40,"Character Teaser - ""Shenhe: Lonesome Dream"" | Genshin Impact",4099999,2022-01-01,99
41,Outfit Teaser: Teyvat Style – Swirling Hues | Genshin Impact,2500000,2022-01-01,72
42,Version 2.4 Special Program｜Genshin Impact,1800000,2022-01-01,2244
43,Enchanting Journey of Snow and Stars: Illuminating Event in the Alps (Teaser 1) | Genshin Impact,2300000,2022-01-01,40
44,"Version 2.4 ""Fleeting Colors in Flight"" Trailer | Genshin Impact",5400000,2022-01-01,288
45,"Collected Miscellany - ""Gorou: Forward Unto Victory"" | Genshin Impact",812000,2022-01-01,410
46,"Collected Miscellany - ""Arataki Itto: Supreme Superstrength"" | Genshin Impact",1100000,2022-01-01,381
